Program,CatNo,L1,L2,L3,L4
Expedia Retail,Cat193,Process Driven,Flights,Weather Delays,Weather Delays
Expedia Retail,Cat194,Process Driven,Flights,Mechanical Issues,Mechanical Issues
Expedia Retail,Cat195,Process Driven,Flights,Air Traffic Control Delays,Air Traffic Control Delays
Expedia Retail,Cat196,Process Driven,Flights,Security Delays,Security Delays
Expedia Retail,Cat197,Process Driven,Flights,Flight Overbooking,Flight Overbooking
Expedia Retail,Cat198,Process Driven,Hotels,Hotels Overbooking,Hotels Overbooking
Expedia Retail,Cat199,Process Driven,Hotels,Maintenance Issues,Maintenance Issues
Expedia Retail,Cat200,Process Driven,Hotels,Staff Strikes,Staff Strikes
Expedia Retail,Cat201,Process Driven,Hotels,Renovations,Renovations
Expedia Retail,Cat202,Process Driven,Hotels,Health and Safety Issues,Health and Safety Issues
Expedia Retail,Cat203,Process Driven,VRBO Listings,Last-Minute Cancellations,Last-Minute Cancellations
Expedia Retail,Cat204,Process Driven,VRBO Listings,Misleading Listings,Misleading Listings
Expedia Retail,Cat205,Process Driven,VRBO Listings,Cleanliness Issues,Cleanliness Issues
Expedia Retail,Cat206,Process Driven,VRBO Listings,Access Problems,Access Problems
Expedia Retail,Cat207,Process Driven,VRBO Listings,Noise and Location Problems,Noise and Location Problems
Expedia Retail,Cat208,Process Driven,Car Rentals,Availability Issues,Availability Issues
Expedia Retail,Cat209,Process Driven,Car Rentals,Car Mechanical Problems,Car Mechanical Problems
Expedia Retail,Cat210,Process Driven,Car Rentals,Car Insurance Conflicts,Car Insurance Conflicts
Expedia Retail,Cat211,Process Driven,Car Rentals,Car Rentals Price Discrepancies,Car Rentals Price Discrepancies
Expedia Retail,Cat212,Process Driven,Car Rentals,Accidents and Traffic,Accidents and Traffic
Expedia Retail,Cat213,Customer Driven,Travel Disruptions,Natural Disasters,Natural Disasters
Expedia Retail,Cat214,Customer Driven,Travel Disruptions,Political Unrest,Political Unrest
Expedia Retail,Cat215,Customer Driven,Travel Disruptions,Health Crises,Health Crises
Expedia Retail,Cat216,Process Driven,Travel Disruptions,Lost Luggage,Lost Luggage
Expedia Retail,Cat217,Customer Driven,Travel Disruptions,Customs and Immigration Delays,Customs and Immigration Delays
Wayfair JAM,Cat1,Negative feedback,People,Agent Behaviour,Active Reading
Wayfair JAM,Cat2,Negative feedback,Process,Resolution,Long Time to resolve
Wayfair JAM,Cat3,Negative feedback,Process,Resolution,No Solution / Issues - Not Resolved
Wayfair JAM,Cat4,Negative feedback,Process,Resolution,Multiple Interactions
Wayfair JAM,Cat5,Negative feedback,People,Accuracy - Knowledge,Inconsistent Information Shared
Wayfair JAM,Cat6,Negative feedback,Process,Shipping - Delivery,Product Not received
Wayfair JAM,Cat7,Negative feedback,Product,billing,Product Pricing / Rate Issue
Wayfair JAM,Cat8,Negative feedback,Process,Service,Complicated Service
Wayfair JAM,Cat10,Negative feedback,People,Damage,Property Damage
Wayfair JAM,Cat11,Negative feedback,Process,Refund,Refund Request
Wayfair JAM,Cat12,Negative feedback,Process,Refund,Refund Not Received
Wayfair JAM,Cat13,Negative feedback,Process,Refund,Incorrect Refund
Wayfair JAM,Cat14,Negative feedback,Process,Replacements,Replacement not Received
Wayfair JAM,Cat15,Negative feedback,Process,Replacements,Parts not Received
Wayfair JAM,Cat16,Negative feedback,People,Resolution,Unhappy with Solution
Wayfair JAM,Cat17,Negative feedback,Product,Shipping,Shipment / Delivery Information
Wayfair JAM,Cat18,Negative feedback,Product,Shipping,Tracking Information - Not Received
Wayfair JAM,Cat19,Negative feedback,Process,Replacements,Replacement Inquiry
Wayfair JAM,Cat20,Negative feedback,Process,Order,Order status
Wayfair JAM,Cat21,Positive Feedback,People,Appreciation,Agent Appreciation
Wayfair JAM,Cat22,Positive Feedback,Product,Excellent Products,Product Appreciation
Wayfair JAM,Cat23,Positive Feedback,People,Excellent Service,Service Appreciation
Wayfair JAM,Cat24,Positive Feedback,People,Timely service,Quick Resolution
Wayfair JAM,Cat25,Positive Feedback,People,Issue Resolution,issue Resolved
Wayfair JAM,Cat26,Negative feedback,Process,Unhappy with Service,Service Dissatisfaction
Wayfair JAM,Cat27,Negative feedback,Process,Returns,Return labels
Wayfair JAM,Cat28,Negative feedback,Process,Returns,Return Process disatisfaction
Wayfair JAM,Cat29,Negative feedback,Process,Policy,Improve / Change Policy
Wayfair JAM,Cat30,Negative feedback,Process,Order,Order Cancellation
Wayfair JAM,Cat31,Negative feedback,Process,Churn,Changing Service Provider
Wayfair JAM,Cat32,Negative feedback,Process,Churn,Losing customers
Wayfair JAM,Cat33,Negative feedback,Process,Churn,Not recommending Service
Wayfair JAM,Cat34,Negative feedback,Process,Churn,Prefer Competitors
Wayfair JAM,Cat35,Negative feedback,Product,Product Quality,Manufacturer Issues
Wayfair JAM,Cat36,Negative feedback,Technology,App,App issues
Wayfair JAM,Cat37,Negative feedback,Product,Product Quality,Product Damaged/Defective
Wayfair JAM,Cat38,Negative feedback,Product,Product Quality,Parts Damaged/Defective
Wayfair JAM,Cat39,Negative feedback,Technology,App,App Difficult to Use
Wayfair JAM,Cat40,Negative feedback,Process,Discounts / Coupons,Discount/Coupons Request
Wayfair JAM,Cat41,Positive Feedback,Process,Service,Recommending Service
Wayfair JAM,Cat42,Negative feedback,Process,Returns,Return Request
Wayfair JAM,Cat43,Negative feedback,People,Communication and Soft Skills,Rep not able to understand
Wayfair JAM,Cat44,Negative feedback,Product,Shipping,Incorrect Order / Incorrect item
Wayfair JAM,Cat45,Negative feedback,Product,Shipping,Shipping Cost
Wayfair JAM,Cat46,Negative feedback,Process,Returns,No free return shipping
Wayfair JAM,Cat47,Negative feedback,Product,Furniture Assembling,Installing Issues
Wayfair JAM,Cat48,Negative feedback,People,Communication and Soft Skills,Unprofessionalism
Wayfair JAM,Cat49,Negative feedback,Process,Replacements,Replacement Request
Wayfair JAM,Cat50,Negative feedback,Product,Shipping,Item missing / Some Item not received
Wayfair JAM,Cat51,Negative feedback,Product,Shipping,Shipping/Delivery Issues
Wayfair JAM,Cat52,Negative feedback,People,Communication and Soft Skills,Repeated messages
Wayfair JAM,Cat53,Negative feedback,People,Communication and Soft Skills,Manager Escalation
Wayfair JAM,Cat54,Negative feedback,Process,Replacements,Prefer New Product Instead of Parts
Wayfair JAM,Cat55,Negative feedback,People,Communication and Soft Skills,Prefer Live person
Wayfair JAM,Cat56,Negative feedback,People,Communication and Soft Skills,Difficult to communicate
Wayfair JAM,Cat57,Negative feedback,Process,Discounts / Coupons,Wrong Discount Provided
Wayfair JAM,Cat58,Negative feedback,Process,Replacements,Product/Item out of stock
Wayfair JAM,Cat59,Negative feedback,Product,Product Quality,Features not Matching Description
Wayfair JAM,Cat60,Negative feedback,Process,Replacements,Defective Replacement
Wayfair JAM,Cat61,Negative feedback,Process,Replacements,Replacement Denied
Wayfair JAM,Cat62,Negative feedback,Product,Product Quality,Other Product Dissatisfaction
Wayfair JAM,Cat63,Negative feedback,Process,Policy,Process not Clear
Wayfair JAM,Cat64,Negative feedback,Product,Shipping,Long time to Receive Item/Part
Wayfair JAM,Cat65,Negative feedback,People,Communication and Soft Skills,Wrong/Conflicting Information
Wayfair JAM,Cat66,Negative feedback,People,Resolution,Not Answered / No Response
Wayfair JAM,Cat67,Negative feedback,Process,Policy,Issue with Survey
Wayfair JAM,Cat68,Negative feedback,People,Communication and Soft Skills,Failed to Acknowledge
Wayfair JAM,Cat69,Negative feedback,Technology,Infrastructure,System Issues
Wayfair JAM,Cat70,Negative feedback,People,Ownership,No Follow-up
Wayfair JAM,Cat71,Negative feedback,People,Lack of Ownership,No Attention by Rep
Wayfair JAM,Cat72,Positive Feedback,Process,Replacements,Full Replacement
Wayfair JAM,Cat73,Negative feedback,People,Issue understanding,Rep didn't understand issue
Wayfair JAM,Cat74,Negative feedback,People,Lack of Ownership,Promise Not fulfilled
Wayfair JAM,Cat75,Negative feedback,Process,Updates /Notification Issues,No Communication Received
Wayfair JAM,Cat76,Negative feedback,People,Chat Disconnection,Rep ended chat
Wayfair JAM,Cat77,Negative feedback,People,Agent opportunity,Rep not helpful
Wayfair JAM,Cat78,Negative feedback,Process,Billing,Purchase Adjustment
Wayfair JAM,Cat79,Negative feedback,People,Unprofessionalism,Rude - Rep
Wayfair JAM,Cat80,Negative feedback,People,Rep knowledge issue,Rep had No Knowledge
Wayfair JAM,Cat81,Negative feedback,Process,Replacement Policy,Replacement without Return
Wayfair JAM,Cat82,Negative feedback,Process,Delivery Partner,Waiting For Delivery Partner To Pickup
Wayfair JAM,Cat83,Negative feedback,Process,Warrenty Issues,Not Happy With Product Warrenty
Wayfair JAM,Cat84,Negative feedback,Process,Warrenty Issues,No Clarity On Warranty
Wayfair JAM,Cat85,Negative feedback,Process,Legal Complaints,Threat of Legal Action from Customer
Wayfair JAM,Cat86,Negative feedback,Process,Wayfair Partner Issues,Unhappy With Outsourcing
Wayfair JAM,Cat87,Negative feedback,Product,Product Issues,Product Durability
Wayfair JAM,Cat88,Positive Feedback,Product,Recommend Service,Recommend Service To Friends & Family
Wayfair JAM,Cat89,Negative feedback,Process,Email Communication,Never Received Email Instructions
Wayfair JAM,Cat90,Negative feedback,Process,Email Communication,Emails Not Clear
Wayfair JAM,Cat91,Negative feedback,Process,Discounts / Coupons,No Discount Available
Wayfair JAM,Cat92,Negative feedback,Process,Discounts / Coupons,Delay Getting Discount
Wayfair JAM,Cat93,Negative feedback,People,Resolution,Customer was Transferred
Wayfair JAM,Cat94,Negative feedback,People,Communication and Soft Skills,Delayed Response Time
Wayfair JAM,Cat95,Negative feedback,People,Resolution,Ticket Closed without Resolution
Wayfair JAM,Cat96,Negative feedback,People,Resolution,Scripted Response
Wayfair JAM,Cat97,Negative feedback,People,Resolution,Long Wait on Call / Chat
Wayfair JAM,Cat98,Positive Feedback,People,Resolution,Happy With Solution
Wayfair JAM,Cat99,Negative feedback,People,Knowledge,Need Training
Wayfair JAM,Cat100,Negative feedback,People,Knowledge,Asking Irrelevant Question
Wayfair JAM,Cat101,Negative feedback,People,Knowledge,Rep share wrong / incomplete information
Wayfair JAM,Cat102,Negative feedback,People,Knowledge,Lack of Customer Education
Wayfair JAM,Cat103,Negative feedback,People,Communication and Soft Skills,Sales Push
Wayfair JAM,Cat107,Negative feedback,People,Communication and Soft Skills,Inappropriate Behavior
Wayfair JAM,Cat109,Negative feedback,People,Communication and Soft Skills,Lack of Patience
Wayfair JAM,Cat110,Negative feedback,People,Communication and Soft Skills,Prolonged Hold Time
Wayfair JAM,Cat111,Negative feedback,People,Communication and Soft Skills,Language Barrier
Wayfair JAM,Cat114,Negative feedback,People,Communication and Soft Skills,Lack of Empathy
Wayfair JAM,Cat115,Negative feedback,People,Communication and Soft Skills,Lack of Assurance
Wayfair JAM,Cat116,Positive Feedback,People,Communication and Soft Skills,Assurance
Wayfair JAM,Cat117,Negative feedback,Process,Resolution,Virtual Assistant
Wayfair JAM,Cat118,Negative feedback,Product,Product Quality,Supplier Issues
Wayfair JAM,Cat119,Negative feedback,People,No Ownership,Lack of Ownership
Wayfair JAM,Cat120,Negative feedback,People,Communication and Soft Skills,Wrong Documentation by Rep
Wayfair JAM,Cat121,Negative feedback,People,Knowledge,Asking Irrelevant Question
Wayfair JAM,Cat122,Negative feedback,People,Resolution,Long Wait for Assistance
Wayfair JAM,Cat123,Negative feedback,People,Communication and Soft Skills,Argumentative Rep
Wayfair JAM,Cat124,Negative feedback,People,Resolution,Failed to Escalate
Wayfair JAM,Cat125,Negative feedback,People,Ownership,No Call Back From Supervisor
Wayfair JAM,Cat126,Negative feedback,People,Ownership,No Call Back
Wayfair JAM,Cat127,Negative feedback,People,Ownership,Callback Request
Wayfair JAM,Cat128,Negative feedback,People,Ownership,Technician not visited
Wayfair JAM,Cat129,Negative feedback,People,Ownership,Lost Items
Wayfair JAM,Cat130,Negative feedback,People,Service Dissatisfaction,Suggestion for Service Enhancement
Wayfair JAM,Cat131,Negative feedback,Process,Refund issues,Delayed Refund
Wayfair JAM,Cat132,Negative feedback,Process,Refund issues,Refund Denied
Wayfair JAM,Cat133,Negative feedback,Process,Refund issues,Partial Refund
Wayfair JAM,Cat134,Negative feedback,Process,Delivery issues,Received Wrong Item / Product
Wayfair JAM,Cat135,Negative feedback,Process,Delivery issues,Lost Order
Wayfair JAM,Cat136,Negative feedback,Process,Delivery issues,Order Delivered To Wrong Address
Wayfair JAM,Cat137,Negative feedback,Product,Product Issues,Product Not Similar As Image / Advertised
Wayfair JAM,Cat138,Negative feedback,Process,Discount Issues,No Compensation For Inconvenience
Humana,Cat1,Positive Feedback,Appreciating Agent,Appreciating Communication and Soft Skills,Clear Explanation by Rep
Humana,Cat2,Positive Feedback,Appreciating Agent,Appreciating Communication and Soft Skills,Empathetic Rep
Humana,Cat3,Positive Feedback,Appreciating Agent,Appreciating Communication and Soft Skills,Excellent communication
Humana,Cat4,Positive Feedback,Appreciating Agent,Appreciating Communication and Soft Skills,Excellent tone
Humana,Cat5,Positive Feedback,Appreciating Agent,Appreciating Communication and Soft Skills,Good Listening Skills
Humana,Cat6,Positive Feedback,Appreciating Agent,Appreciating Communication and Soft Skills,Patient Rep
Humana,Cat7,Positive Feedback,Appreciating Agent,Appreciating Communication and Soft Skills,Rep has Clear Understanding
Humana,Cat8,Positive Feedback,Appreciating Agent,Appreciating Knowledge,Knowledgeable Rep
Humana,Cat9,Positive Feedback,Appreciating Agent,Appreciating Ownership,Calm Rep
Humana,Cat10,Positive Feedback,Appreciating Agent,Appreciating Ownership,Excellent Rep
Humana,Cat11,Positive Feedback,Appreciating Agent,Appreciating Ownership,Friendly Rep
Humana,Cat12,Positive Feedback,Appreciating Agent,Appreciating Ownership,Good Attention by Rep
Humana,Cat13,Positive Feedback,Appreciating Agent,Appreciating Ownership,Helpful Rep
Humana,Cat14,Positive Feedback,Appreciating Agent,Appreciating Ownership,Kind Rep
Humana,Cat15,Positive Feedback,Appreciating Agent,Appreciating Ownership,Nice Rep
Humana,Cat16,Positive Feedback,Appreciating Agent,Appreciating Ownership,Pleasant Rep
Humana,Cat17,Positive Feedback,Appreciating Agent,Appreciating Ownership,Polite Rep
Humana,Cat18,Positive Feedback,Appreciating Agent,Appreciating Ownership,Professional Rep
Humana,Cat19,Positive Feedback,Appreciating Agent,Appreciating Resolution,Issue Resolved
Humana,Cat20,Positive Feedback,Appreciating Agent,Appreciating Resolution,Quick / Prompt Rep
Humana,Cat21,Positive Feedback,Appreciating Product & Service,Appreciating Product,Excellent Products
Humana,Cat22,Positive Feedback,Appreciating Product & Service,Appreciating Product,Good plans
Humana,Cat23,Positive Feedback,Appreciating Product & Service,Appreciating Product,Good Promotion / Offer
Humana,Cat24,Positive Feedback,Appreciating Product & Service,Appreciating Product,Good calling service
Humana,Cat25,Positive Feedback,Appreciating Product & Service,Appreciating Service,Customer Will Recommend Service
Humana,Cat26,Positive Feedback,Appreciating Product & Service,Appreciating Service,Excellent / Good service
Humana,Cat27,Positive Feedback,Appreciating Product & Service,Appreciating Website / App,Good Website
Humana,Cat28,Positive Feedback,Appreciating Product & Service,Appreciating Website / App,Nice APP
Humana,Cat29,Positive Feedback,Appreciating Product & Service,Appreciating Service,Professional service
Humana,Cat30,Positive Feedback,Appreciating Product & Service,Appreciating Service,Reliable Service
Humana,Cat31,Positive Feedback,Appreciating Product & Service,Appreciating Service,Timely service
Humana,Cat32,Agent Opportunity,Communication and Soft Skills,Communication problem,Communication problem
Humana,Cat33,Agent Opportunity,Communication and Soft Skills,Dead Air on call,Dead Air on call
Humana,Cat34,Agent Opportunity,Communication and Soft Skills,Excessive Talking by Rep,Excessive Talking by Rep
Humana,Cat35,Agent Opportunity,Communication and Soft Skills,Hard to Understand Rep,Hard to Understand Rep
Humana,Cat36,Agent Opportunity,Communication and Soft Skills,Language Barrier,Language Barrier
Humana,Cat37,Agent Opportunity,Communication and Soft Skills,Long Hold on Call / Chat,Long Hold on Call / Chat
Humana,Cat38,Agent Opportunity,Communication and Soft Skills,Multiple Holds,Multiple Holds
Humana,Cat39,Agent Opportunity,Communication and Soft Skills,No Assurance,No Assurance
Humana,Cat40,Agent Opportunity,Communication and Soft Skills,No empathy by Rep,No empathy by Rep
Humana,Cat41,Agent Opportunity,Communication and Soft Skills,No patience,No patience
Humana,Cat42,Agent Opportunity,Communication and Soft Skills,Pushy Sales,Pushy Sales
Humana,Cat43,Agent Opportunity,Communication and Soft Skills,Rate of Speech,Rate of Speech
Humana,Cat44,Agent Opportunity,Communication and Soft Skills,Rep Accent Issues,Rep Accent Issues
Humana,Cat45,Agent Opportunity,Communication and Soft Skills,Rep Could Not Explain,Rep Could Not Explain
Humana,Cat46,Agent Opportunity,Communication and Soft Skills,Rep Hung up the call,Rep Hung up the call
Humana,Cat47,Agent Opportunity,Communication and Soft Skills,Rep In Rush,Rep In Rush
Humana,Cat48,Agent Opportunity,Communication and Soft Skills,Rep Interrupting Customer,Rep Interrupting Customer
Humana,Cat49,Agent Opportunity,Communication and Soft Skills,Rep Laughing / Shout on call,Rep Laughing / Shout on call
Humana,Cat50,Agent Opportunity,Communication and Soft Skills,Rep Listening Issues,Rep Had Listening Issues
Humana,Cat51,Agent Opportunity,Communication and Soft Skills,Rep Mocking customer,Rep Mocked customer
Humana,Cat52,Agent Opportunity,Communication and Soft Skills,Rep not able to understand,Rep not able to understand
Humana,Cat53,Agent Opportunity,Communication and Soft Skills,Rep Pronunciation Issue,Rep Pronunciation Issue
Humana,Cat54,Agent Opportunity,Communication and Soft Skills,Rep Sound Robotic,Rep Sounded Robotic
Humana,Cat55,Agent Opportunity,Communication and Soft Skills,Rep Using Jargon,Rep Used Jargon
Humana,Cat56,Agent Opportunity,Communication and Soft Skills,Rep Yawning / Sleeping,Rep Yawning / Sleeping
Humana,Cat57,Agent Opportunity,Communication and Soft Skills,Voice tone issue,Voice tone issue
Humana,Cat58,Agent Opportunity,Communication and Soft Skills,Wrong Documentation by Rep,Wrong Documentation by Rep
Humana,Cat59,Agent Opportunity,Knowledge,Customer Not Getting Information,Customer Not Getting Information
Humana,Cat60,Agent Opportunity,Knowledge,Inconsistent information shared,Inconsistent information shared
Humana,Cat61,Agent Opportunity,Knowledge,Issue understanding,Rep didn't understand issue
Humana,Cat62,Agent Opportunity,Knowledge,Misleading Information,Rep provided misleading Information
Humana,Cat63,Agent Opportunity,Knowledge,No Customer Education,No Customer Education
Humana,Cat64,Agent Opportunity,Knowledge,Rep Asking Irrelevant Questions,Rep Asked Irrelevant Questions
Humana,Cat65,Agent Opportunity,Knowledge,Rep had No Knowledge,Rep had No Knowledge
Humana,Cat66,Agent Opportunity,Knowledge,Rep Need Training,Rep Need Training
Humana,Cat67,Agent Opportunity,Knowledge,Rep Provided Incomplete Explanation,Rep Provided Incomplete Explanation
Humana,Cat68,Agent Opportunity,Knowledge,Rep share wrong / incomplete information,Rep share wrong / incomplete information
Humana,Cat69,Agent Opportunity,Lack of Ownership,Call Back Issue,Need Call Back
Humana,Cat70,Agent Opportunity,Lack of Ownership,Call Back Issue,No Call Back
Humana,Cat71,Agent Opportunity,Lack of Ownership,Dishonest Rep,Dishonest Rep
Humana,Cat72,Agent Opportunity,Lack of Ownership,No Attention by Rep,No Attention by Rep
Humana,Cat73,Agent Opportunity,Lack of Ownership,No Follow-up,No Follow-up
Humana,Cat74,Agent Opportunity,Lack of Ownership,No Ownership by Rep,No Ownership by Rep
Humana,Cat75,Agent Opportunity,Lack of Ownership,Promised Not fulfilled,Promised Not fulfilled
Humana,Cat76,Agent Opportunity,Lack of Ownership,Rep Did Not Acknowledge,Rep Did Not Acknowledge
Humana,Cat77,Agent Opportunity,Lack of Ownership,Rep Not accommodating / Argumentive,Rep Not accommodating / Argumentive
Humana,Cat78,Agent Opportunity,Lack of Ownership,Rep Not Helpful,Rep Not Helpful
Humana,Cat79,Agent Opportunity,Lack of Ownership,Rep was not courteous,Rep was not courteous
Humana,Cat80,Agent Opportunity,Lack of Ownership,Rude - Rep,Rude - Rep
Humana,Cat81,Agent Opportunity,Lack of Ownership,Unprofessional - Rep,Unprofessional - Rep
Humana,Cat82,Agent Opportunity,Resolution,Call Transfer Issue,Call Transfer Issue
Humana,Cat83,Agent Opportunity,Resolution,Connected / Transfer to Wrong Department,Connected / Transfer to Wrong Department
Humana,Cat84,Agent Opportunity,Resolution,Customer directed to store / vendor / depart,Customer directed to store / vendor / depart
Humana,Cat85,Agent Opportunity,Resolution,Long Time to resolve,Long Time to Resolve
Humana,Cat86,Agent Opportunity,Resolution,Long Wait on Call / Chat,Long Wait on Call / Chat
Humana,Cat87,Agent Opportunity,Resolution,Multiple Interactions,Multiple Interactions
Humana,Cat88,Agent Opportunity,Resolution,No Solution / Issues - Not Resolved,No Solution / Issues - Not Resolved
Humana,Cat89,Agent Opportunity,Resolution,Not happy with Solution,Not happy with Solution
Humana,Cat90,Agent Opportunity,Resolution,Standard / Scripted Response by Rep,Standard / Scripted Response by Rep
Humana,Cat91,Process,Account Management Issue,Account Access Issue,Account Access Issue
Humana,Cat92,Process,Account Management Issue,Account Cancellation Issue,Account Cancellation Issue
Humana,Cat93,Process,Account Management Issue,Account Suspended,Account Suspended
Humana,Cat94,Process,Account Management Issue,Address Change Related,Address Change Related
Humana,Cat95,Process,Account Management Issue,Application Related,Application Related
Humana,Cat96,Process,Account Management Issue,Password Issue,Password Issue
Humana,Cat97,Process,Billing Issue,Billing - Invoice Related Issue,Billing - Invoice Related Issue
Humana,Cat98,Process,Billing Issue,Charges Issue,Charges Issue
Humana,Cat99,Process,Billing Issue,Double Charged,Double Charged
Humana,Cat100,Process,Billing Issue,Duplicate Billing,Duplicate Billing
Humana,Cat101,Process,Billing Issue,Incorrect Fees / Charges,Incorrect Fees / Charges
Humana,Cat102,Process,Billing Issue,Late Fees,Late Fees
Humana,Cat103,Process,Cancelation Issue,Cancelling the Product / service,Cancelling the Product / service
Humana,Cat104,Process,Change Plan / Program,Change Plan / Program,Change Plan / Program
Humana,Cat105,Process,Dissatisfied with Process,Unfair Practices,Unfair Practices
Humana,Cat106,Process,Dissatisfied with Process,Unfriendly process,Unfriendly process
Humana,Cat107,Process,Improve Process,Want to Talk a Phone Rep,Want to Talk a Phone Rep
Humana,Cat108,Process,Issue with Survey,Issue with Survey,Issue with Survey
Humana,Cat109,Process,Issues for New Customers,Issues for New Customers,Issues for New Customers
Humana,Cat110,Process,Difficult to Contact Customer Care,Difficult to Contact Customer Care,No way / Hard to Contact Customer Care
Humana,Cat111,Process,Ongoing Issue,Ongoing Issue,Ongoing Issue
Humana,Cat112,Process,Order Issue,Order Cancellation,Order Cancellation
Humana,Cat113,Process,Order Issue,Order Delayed,Order Delayed
Humana,Cat114,Process,Order Issue,Order Related,Order Related
Humana,Cat115,Process,Order Issue,Pending Order,Pending Order
Humana,Cat116,Process,Payment Issue,Auto pay,Auto pay
Humana,Cat117,Process,Payment Issue,Payment History / Statement,Payment History / Statement
Humana,Cat118,Process,Payment Issue,Issue in making payment,Issue in making payment
Humana,Cat119,Process,Policy Issue,Improve / Change Policy,Improve / Change Policy
Humana,Cat120,Process,Policy Issue,Many Restrictions,Many Restrictions
Humana,Cat121,Process,Policy Issue,Not happy with Policy,Not happy with Policy
Humana,Cat122,Process,Policy Issue,Outsourcing Issues,Outsourcing Issues
Humana,Cat123,Process,Policy Issue,Policy Violation,Policy Violation
Humana,Cat124,Process,Policy Issue,Refund Policy Issue,Refund Policy Issue
Humana,Cat125,Process,Purchase issue,Purchase issue,Purchase issue
Humana,Cat126,Process,Refund,Delayed Refund,Delayed Refund
Humana,Cat127,Process,Refund,Need Refund,Need Refund
Humana,Cat128,Process,Refund,Refund Denied,Refund Denied
Humana,Cat129,Process,Renewal Issue,Renewal issue,Renewal issue
Humana,Cat130,Process,Scam / fraud Issue,Scam / fraud,Scam / fraud
Humana,Cat131,Process,Shipping - Delivery,Product Not received,Product Not received
Humana,Cat132,Process,Updates / Notification Issue,No Communication Received,No Communication Received
Humana,Cat133,Process,Updates / Notification Issue,Not received Email,Not received Email
Humana,Cat134,Process,Account Management Issue,Transferring Service,Transferring Service
Humana,Cat135,Process,Order Issue,Placing Order,Difficulty placing order
Humana,Cat136,Process,Order Issue,Placing Order,Out of stock product listed online
Humana,Cat137,Process,Order Issue,Cancel Order,Unable to cancel order - website
Humana,Cat138,Process,Order Issue,Placing Order,Unable to checkout - Address
Humana,Cat139,Process,Order Issue,Placing Order,Unable to checkout - Credit Card Payment
Humana,Cat140,Process,Order Issue,Modify Order,Unable to modify order
Humana,Cat141,Process,Scheduling Issue,Scheduling Appointment,Could not Schedule Appointment
Humana,Cat142,Process,Refund,Need Refund,Need Reimbursement
Humana,Cat143,Process,Order Issue,Product Not Delivered,Product Not Delivered
Humana,Cat144,Process,Cancelation Issue,Cancelling the Product / service,Cancelling Your Services
Humana,Cat145,Process,Order Issue,Reward Not Received,Reward Not Received
Humana,Cat146,Process,Subscription Issue,Cancelling the Product / service,Subscription Cancelation
Humana,Cat147,Process,Cancelation Issue,Cancelling the Product / service,Cancellation Charges
Humana,Cat148,Process,Subscription Issue,Cancelling the Product / service,Do Not Need Annual Subscription
Humana,Cat149,Process,Subscription Issue,Annual Subscription Issue,Issue with Annual Subscription
Humana,Cat150,Process,Subscription Issue,Annual Fee,Annual fee
Humana,Cat151,Process,Billing Issue,Premium Issue,Issue related to Premium
Humana,Cat152,Process,Network Facility,Network Facility,Network Facility
Humana,Cat153,Process,Claims Issue,Claims Issue,Denied Claim
Humana,Cat154,Process,Copay Issue,Copay Issue,Copay Issue
Humana,Cat155,Process,Order Issue,Pharmacy Order,Pharmacy Order Issue
Humana,Cat156,Process,Order Issue,Prescription Issue,Prescription Issue
Humana,Cat157,Process,Benefits Issue,Benefits Issue,Issue in getting plan Benefits
Humana,Cat158,Process,Network Facility,Coverage,Coverage Issue
Humana,Cat159,Process,Medical facility,Received No Medical facility,Received No Medical facility
Humana,Cat160,Process,Healthcare Issue,Healthcare Issue,Home Health Care Issue
Humana,Cat161,Process,Order Issue,Out of Stock,Supplies / Medicine out of stock
Humana,Cat162,Process,Doctor Availability,Doctor Availability,Issue with Doctor availability
Humana,Cat163,Products and Services,Privacy Issue,Privacy Issue,Privacy Issue
Humana,Cat164,Products and Services,Product Dissatisfaction,Dissatisfied with Product,Dissatisfied with product
Humana,Cat165,Products and Services,Product Plan,Dissatisfied with Plan,Dissatisfied with Plan
Humana,Cat166,Products and Services,Service Dissatisfaction,Bad / Poor - Service,Bad / Poor - Service
Humana,Cat167,Products and Services,Service Dissatisfaction,Complicated Service,Complicated Service
Humana,Cat168,Products and Services,Service Dissatisfaction,Improve Service,Improve Service
Humana,Cat169,Products and Services,Service Dissatisfaction,Not Reliable Service,Not Reliable Service
Humana,Cat170,Products and Services,Service Dissatisfaction,Service Not helpful,Service Not helpful
Humana,Cat171,Products and Services,Service Dissatisfaction,Slow Service,Slow Service
Humana,Cat172,Products and Services,Website / App Issue,App Error / Improve App,App Error / Improve App
Humana,Cat173,Products and Services,Website / App Issue,Browser Issue,Browser Issue
Humana,Cat174,Products and Services,Website / App Issue,Difficult To Use / Navigate,Difficult To Use / Navigate
Humana,Cat175,Products and Services,Website / App Issue,Issue with Information on Site,Issue with Information on Site
Humana,Cat176,Products and Services,Website / App Issue,Website Difficult To Understand,Website Difficult To Understand
Humana,Cat177,Products and Services,Website / App Issue,Website Error,Website Error
Humana,Cat178,Products and Services,Website / App Issue,Website Error,Website - Multiple charges
Humana,Cat179,Products and Services,Website / App Issue,Website Error,Website slow
Humana,Cat180,Others,Customer,Customer self resolved issue,Customer self resolved issue
Humana,Cat181,Others,Customer,Impacting Client / Business,Impacting Client / Business
Humana,Cat182,Others,Customer,Incorrect Rating,Incorrect Rating
